"","section","publication","category","title","content"
"262","news","Guardian","newspaper","news","news"
"263","law & politics","National Review","","law & politics","law & politics"
"264","law & politics","National Review","","news","law & politics"
"265","news","Washington Post","newspaper","news","news"
"266","travel","Fox News","broadcast","news","news"
"267","news","New York Post","","news","news"
"268","law & politics","National Review","","law & politics","law & politics"
"269","news","Washington Post","newspaper","law & politics","law & politics"
"270","news","New York Post","","law & politics","news"
"271","law & politics","Talking Points Memo","general","law & politics","law & politics"
"272","news","Guardian","newspaper","law & politics","news"
"273","news","New York Post","","news","news"
"274","law & politics","Washington Post","newspaper","health & lifestyle","news"
"275","law & politics","National Review","","news","entertainment"
"276","news","New York Post","","news","news"
"277","law & politics","Washington Post","newspaper","news","news"
"278","law & politics","Talking Points Memo","general","news","law & politics"
"279","news","Guardian","newspaper","news","news"
"280","books","Guardian","newspaper","law & politics","law & politics"
"281","news","New York Post","","news","news"
"282","news","Washington Post","newspaper","news","news"
"283","news","New York Post","","news","news"
"284","news","Guardian","newspaper","news","news"
"285","law & politics","National Review","","health & lifestyle","news"
"286","news","New York Post","","news","news"
"287","entertainment","Guardian","newspaper","news","news"
"288","news","Washington Post","newspaper","law & politics","news"
"289","news","New York Post","","news","news"
"290","news","New York Post","","news","news"
"291","law & politics","National Review","","law & politics","law & politics"
"292","news","NPR","radio","law & politics","news"
"293","law & politics","Washington Post","newspaper","news","news"
"294","news","New York Post","","news","news"
"295","news","New York Post","","news","news"
"296","news","New York Post","","news","news"
"297","news","New York Post","","law & politics","news"
"298","law & politics","Talking Points Memo","general","law & politics","news"
"299","law & politics","National Review","","law & politics","law & politics"
"300","entertainment","NPR","radio","entertainment","entertainment"
"301","law & politics","Talking Points Memo","general","law & politics","law & politics"
"302","news","New York Post","","news","health & lifestyle"
"303","law & politics","Talking Points Memo","general","law & politics","news"
"304","news","New York Post","","health & lifestyle","news"
"305","news","New York Post","","news","news"
"306","news","Washington Post","newspaper","law & politics","law & politics"
"307","news","NPR","radio","news","news"
"308","news","New York Post","","news","news"
"309","news","New York Post","","news","news"
"310","news","New York Post","","news","news"
"311","news","New York Post","","news","news"
"312","news","New York Post","","news","news"
"313","news","New York Post","","news","law & politics"
"314","health & lifestyle","Guardian","newspaper","news","news"
"315","news","New York Post","","news","news"
"316","news","New York Post","","news","news"
"317","law & politics","Washington Post","newspaper","sports","news"
"318","law & politics","Washington Post","newspaper","law & politics","law & politics"
"319","news","New York Post","","news","news"
"320","news","New York Post","","news","news"
"321","health & lifestyle","Washington Post","newspaper","law & politics","news"
"322","law & politics","Talking Points Memo","general","law & politics","news"
"323","news","New York Post","","news","news"
"324","law & politics","Fox News","broadcast","news","law & politics"
"325","law & politics","National Review","","law & politics","news"
"326","news","New York Post","","news","news"
"327","news","NPR","radio","news","news"
"328","news","Fox News","broadcast","news","news"
"329","economy, business & jobs","Buzzfeed News","general","health & lifestyle","news"
"330","news","New York Post","","news","news"
"331","news","New York Post","","news","news"
"332","news","Washington Post","newspaper","news","news"
"333","news","New York Post","","news","news"
"334","news","New York Post","","news","news"
"335","news","Guardian","newspaper","news","news"
"336","news","New York Post","","news","news"
"337","news","New York Post","","news","news"
"338","news","Washington Post","newspaper","news","news"
"339","news","Guardian","newspaper","news","news"
"340","news","Washington Post","newspaper","news","news"
"341","news","New York Post","","news","news"
"342","news","New York Post","","law & politics","law & politics"
"343","news","Talking Points Memo","general","law & politics","news"
"344","law & politics","Washington Post","newspaper","law & politics","law & politics"
"345","law & politics","Washington Post","newspaper","law & politics","law & politics"
"346","news","New York Post","","news","news"
"347","law & politics","Guardian","newspaper","news","entertainment"
"348","news","NPR","radio","news","news"
"349","law & politics","Talking Points Memo","general","news","news"
"350","news","New York Post","","news","news"
"351","news","Washington Post","newspaper","news","news"
"352","law & politics","Talking Points Memo","general","entertainment","news"
"353","law & politics","Washington Post","newspaper","law & politics","news"
"354","news","New York Post","","news","news"
"355","news","Guardian","newspaper","law & politics","law & politics"
"356","news","Washington Post","newspaper","news","entertainment"
"357","law & politics","Fox News","broadcast","law & politics","law & politics"
"358","law & politics","Talking Points Memo","general","law & politics","law & politics"
"359","sports","Guardian","newspaper","news","news"
"360","news","New York Post","","news","news"
"361","law & politics","Washington Post","newspaper","law & politics","law & politics"
"362","news","Washington Post","newspaper","news","law & politics"
"363","news","New York Post","","news","news"
"364","news","Fox News","broadcast","news","news"
"365","law & politics","Talking Points Memo","general","news","law & politics"
"366","news","New York Post","","law & politics","news"
"367","news","Washington Post","newspaper","news","news"
"368","science & tech","Guardian","newspaper","news","law & politics"
"369","news","NPR","radio","news","news"
"370","news","NPR","radio","news","news"
"371","news","Guardian","newspaper","law & politics","law & politics"
"372","sports","Guardian","newspaper","news","sports"
"373","news","NPR","radio","news","news"
"374","news","NPR","radio","law & politics","law & politics"
"375","law & politics","National Review","","law & politics","news"
"376","news","New York Post","","news","news"
"377","law & politics","National Review","","law & politics","law & politics"
"378","news","New York Post","","news","news"
"379","law & politics","National Review","","law & politics","law & politics"
"380","news","New York Post","","news","news"
"381","news","New York Post","","law & politics","news"
"382","news","Washington Post","newspaper","news","news"
"383","news","New York Post","","science & tech","law & politics"
"384","economy, business & jobs","Guardian","newspaper","news","news"
"385","news","New York Post","","health & lifestyle","news"
"386","law & politics","Fox News","broadcast","law & politics","law & politics"
"387","news","Guardian","newspaper","news","news"
"388","news","New York Post","","news","news"
"389","news","New York Post","","news","news"
"390","economy, business & jobs","Guardian","newspaper","news","law & politics"
"391","news","NPR","radio","news","news"
"392","news","Washington Post","newspaper","law & politics","news"
"393","news","Guardian","newspaper","law & politics","news"
"394","news","New York Post","","news","news"
"395","news","Washington Post","newspaper","news","law & politics"
"396","law & politics","Washington Post","newspaper","news","news"
"397","law & politics","Fox News","broadcast","law & politics","law & politics"
"398","news","New York Post","","news","news"
"399","sports","Fox News","broadcast","sports","news"
"400","news","New York Post","","news","news"
"401","science & tech","Guardian","newspaper","news","news"
"402","entertainment","Guardian","newspaper","news","news"
"403","sports","Guardian","newspaper","news","sports"
"404","law & politics","Washington Post","newspaper","law & politics","law & politics"
"405","news","Washington Post","newspaper","news","news"
"406","news","Washington Post","newspaper","news","news"
"407","news","NPR","radio","news","news"
"408","news","NPR","radio","law & politics","news"
"409","news","New York Post","","law & politics","law & politics"
"410","news","Washington Post","newspaper","entertainment","news"
"411","law & politics","Talking Points Memo","general","law & politics","law & politics"
"412","law & politics","National Review","","law & politics","law & politics"
"413","news","Fox News","broadcast","news","news"
"414","news","New York Post","","news","news"
"415","news","Fox News","broadcast","news","news"
"416","entertainment","Guardian","newspaper","news","news"
"417","news","Guardian","newspaper","news","law & politics"
"418","news","New York Post","","science & tech","news"
"419","law & politics","Washington Post","newspaper","news","law & politics"
"420","news","Washington Post","newspaper","news","law & politics"
"421","news","New York Post","","health & lifestyle","news"
"422","law & politics","National Review","","news","news"
"423","news","Washington Post","newspaper","news","news"
"424","news","New York Post","","news","news"
"425","news","Washington Post","newspaper","news","news"
"426","news","New York Post","","law & politics","news"
"427","news","Guardian","newspaper","news","news"
"428","news","NPR","radio","news","news"
"429","news","New York Post","","news","news"
"430","law & politics","Washington Post","newspaper","law & politics","law & politics"
"431","law & politics","Washington Post","newspaper","law & politics","news"
"432","news","NPR","radio","news","news"
"433","news","New York Post","","news","news"
"434","law & politics","Washington Post","newspaper","law & politics","law & politics"
"435","news","Guardian","newspaper","news","news"
"436","news","NPR","radio","news","news"
"437","news","New York Post","","news","news"
"438","news","New York Post","","news","news"
"439","art & fashion","Guardian","newspaper","news","art & fashion"
"440","science & tech","Guardian","newspaper","law & politics","news"
"441","news","Guardian","newspaper","news","law & politics"
"442","health & lifestyle","Guardian","newspaper","news","news"
"443","news","Washington Post","newspaper","law & politics","news"
"444","news","New York Post","","news","news"
"445","news","NPR","radio","news","news"
"446","law & politics","Guardian","newspaper","law & politics","law & politics"
"447","news","Guardian","newspaper","news","news"
"448","law & politics","Washington Post","newspaper","news","law & politics"
"449","news","New York Post","","news","news"
"450","news","Guardian","newspaper","news","news"
"451","health & lifestyle","NPR","radio","news","news"
"452","news","New York Post","","law & politics","news"
"453","law & politics","Washington Post","newspaper","law & politics","law & politics"
"454","news","Guardian","newspaper","news","news"
"455","law & politics","National Review","","law & politics","law & politics"
"456","news","NPR","radio","news","news"
"457","news","New York Post","","news","news"
"458","news","NPR","radio","news","news"
"459","news","New York Post","","science & tech","news"
"460","law & politics","Guardian","newspaper","law & politics","law & politics"
"461","news","New York Post","","law & politics","news"
"462","science & tech","Guardian","newspaper","news","news"
"463","science & tech","NPR","radio","news","news"
"464","entertainment","Guardian","newspaper","news","law & politics"
"465","law & politics","Washington Post","newspaper","law & politics","news"
"466","law & politics","Guardian","newspaper","news","news"
"467","science & tech","NPR","radio","art & fashion","news"
"468","news","Washington Post","newspaper","news","law & politics"
"469","law & politics","National Review","","news","news"
"470","law & politics","National Review","","law & politics","law & politics"
"471","news","New York Post","","news","news"
"472","news","Guardian","newspaper","law & politics","news"
"473","news","New York Post","","news","news"
"474","entertainment","Guardian","newspaper","entertainment","news"
"475","news","NPR","radio","news","news"
"476","news","New York Post","","news","news"
"477","news","NPR","radio","health & lifestyle","news"
"478","law & politics","National Review","","news","law & politics"
"479","news","New York Post","","law & politics","law & politics"
"480","news","Washington Post","newspaper","news","news"
"481","law & politics","Washington Post","newspaper","news","news"
"482","law & politics","Washington Post","newspaper","news","law & politics"
"483","law & politics","National Review","","law & politics","news"
"484","law & politics","National Review","","law & politics","law & politics"
"485","sports","Washington Post","newspaper","news","news"
"486","law & politics","Washington Post","newspaper","law & politics","news"
"487","law & politics","Talking Points Memo","general","law & politics","law & politics"
"488","law & politics","Talking Points Memo","general","law & politics","law & politics"
"489","news","New York Post","","news","news"
"490","news","Washington Post","newspaper","news","entertainment"
"491","food","NPR","radio","news","news"
"492","news","Guardian","newspaper","news","law & politics"
"493","news","NPR","radio","news","news"
"494","law & politics","Fox News","broadcast","law & politics","news"
"495","entertainment","Guardian","newspaper","law & politics","news"
"496","news","New York Post","","law & politics","law & politics"
"497","news","New York Post","","news","news"
"498","news","New York Post","","news","news"
"499","news","NPR","radio","news","news"
"500","news","New York Post","","news","news"
"501","law & politics","Talking Points Memo","general","law & politics","law & politics"
"502","law & politics","Guardian","newspaper","news","law & politics"
"503","news","Washington Post","newspaper","news","news"
"504","entertainment","Guardian","newspaper","law & politics","news"
"505","news","New York Post","","news","law & politics"
"506","news","New York Post","","news","news"
"507","news","New York Post","","news","news"
"508","news","NPR","radio","news","news"
"509","university & school","NPR","radio","news","health & lifestyle"
"510","news","Washington Post","newspaper","news","news"
"511","law & politics","National Review","","news","law & politics"
"512","news","Washington Post","newspaper","news","news"
"513","news","New York Post","","news","news"
"514","news","NPR","radio","news","news"
"515","law & politics","Washington Post","newspaper","news","news"
"516","news","New York Post","","news","news"
"517","news","New York Post","","news","news"
"518","law & politics","Washington Post","newspaper","law & politics","law & politics"
"519","economy, business & jobs","Guardian","newspaper","news","news"
"520","news","NPR","radio","law & politics","news"
"521","news","New York Post","","economy, business & jobs","news"
"522","law & politics","National Review","","news","law & politics"
"523","news","NPR","radio","news","news"
"524","law & politics","Washington Post","newspaper","law & politics","law & politics"
"525","news","Fox News","broadcast","news","news"
"526","economy, business & jobs","Washington Post","newspaper","news","news"
"527","news","New York Post","","news","news"
"528","entertainment","Guardian","newspaper","law & politics","news"
"529","law & politics","National Review","","news","law & politics"
"530","health & lifestyle","Guardian","newspaper","law & politics","news"
"531","news","New York Post","","news","news"
"532","law & politics","National Review","","law & politics","law & politics"
"533","news","New York Post","","law & politics","law & politics"
"534","news","Guardian","newspaper","law & politics","news"
"535","news","NPR","radio","news","news"
"536","law & politics","Washington Post","newspaper","law & politics","law & politics"
"537","law & politics","Washington Post","newspaper","law & politics","news"
"538","news","New York Post","","law & politics","news"
"539","news","New York Post","","news","news"
"540","news","New York Post","","news","news"
"541","news","New York Post","","news","news"
"542","law & politics","Washington Post","newspaper","law & politics","law & politics"
"543","news","New York Post","","news","news"
"544","news","New York Post","","news","news"
"545","news","Washington Post","newspaper","news","news"
"546","news","New York Post","","news","law & politics"
"547","law & politics","National Review","","law & politics","law & politics"
"548","law & politics","National Review","","media","law & politics"
"549","news","New York Post","","law & politics","news"
"550","news","New York Post","","news","news"
"551","news","Washington Post","newspaper","law & politics","news"
"552","news","New York Post","","news","news"
"553","law & politics","National Review","","law & politics","law & politics"
"554","news","NPR","radio","news","news"
"555","law & politics","Talking Points Memo","general","law & politics","law & politics"
"556","news","New York Post","","news","news"
"557","law & politics","Guardian","newspaper","news","law & politics"
"558","news","Washington Post","newspaper","news","news"
"559","law & politics","National Review","","news","news"
"560","news","Washington Post","newspaper","news","news"
"561","news","New York Post","","news","news"
"562","law & politics","Talking Points Memo","general","news","news"
"563","news","Washington Post","newspaper","news","law & politics"
"564","news","New York Post","","news","news"
"565","news","Guardian","newspaper","news","law & politics"
"566","news","New York Post","","news","news"
"567","law & politics","Talking Points Memo","general","news","news"
"568","health & lifestyle","NPR","radio","health & lifestyle","news"
"569","news","New York Post","","news","news"
"570","health & lifestyle","NPR","radio","news","health & lifestyle"
"571","health & lifestyle","NPR","radio","news","news"
"572","entertainment","Guardian","newspaper","entertainment","entertainment"
"573","news","New York Post","","news","health & lifestyle"
"574","law & politics","National Review","","law & politics","news"
"575","law & politics","National Review","","health & lifestyle","law & politics"
"576","law & politics","Talking Points Memo","general","science & tech","health & lifestyle"
"577","law & politics","National Review","","law & politics","law & politics"
"578","law & politics","Washington Post","newspaper","law & politics","law & politics"
"579","law & politics","National Review","","law & politics","law & politics"
"580","news","Washington Post","newspaper","news","news"
"581","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"582","news","New York Post","","news","news"
"583","news","NPR","radio","news","law & politics"
"584","law & politics","Washington Post","newspaper","law & politics","law & politics"
"585","law & politics","National Review","","news","law & politics"
"586","news","New York Post","","news","news"
"587","news","New York Post","","news","news"
"588","news","NPR","radio","news","news"
"589","news","NPR","radio","news","news"
"590","news","New York Post","","news","news"
"591","news","New York Post","","news","news"
"592","news","Guardian","newspaper","news","news"
"593","law & politics","Washington Post","newspaper","news","news"
"594","news","Guardian","newspaper","law & politics","news"
"595","news","NPR","radio","law & politics","news"
"596","law & politics","Washington Post","newspaper","law & politics","news"
"597","economy, business & jobs","Guardian","newspaper","news","news"
"598","news","Guardian","newspaper","news","news"
"599","science & tech","NPR","radio","news","news"
"600","law & politics","National Review","","law & politics","news"
"601","news","New York Post","","news","news"
"602","news","NPR","radio","news","news"
"603","news","Fox News","broadcast","news","news"
"604","news","New York Post","","news","news"
"605","health & lifestyle","NPR","radio","news","health & lifestyle"
"606","law & politics","Washington Post","newspaper","law & politics","law & politics"
"607","law & politics","National Review","","health & lifestyle","news"
"608","entertainment","Guardian","newspaper","law & politics","news"
"609","books","Guardian","newspaper","health & lifestyle","news"
"610","news","New York Post","","law & politics","news"
"611","law & politics","National Review","","news","law & politics"
"612","university & school","NPR","radio","news","news"
"613","law & politics","Washington Post","newspaper","law & politics","law & politics"
"614","news","Guardian","newspaper","news","news"
"615","news","New York Post","","news","news"
"616","entertainment","Guardian","newspaper","news","news"
"617","news","NPR","radio","news","news"
"618","news","NPR","radio","news","news"
"619","entertainment","Guardian","newspaper","news","news"
"620","news","New York Post","","news","news"
"621","law & politics","National Review","","health & lifestyle","news"
"622","news","New York Post","","news","news"
"623","news","Guardian","newspaper","news","law & politics"
"624","law & politics","National Review","","law & politics","law & politics"
"625","news","NPR","radio","news","law & politics"
"626","news","New York Post","","law & politics","law & politics"
"627","law & politics","Washington Post","newspaper","law & politics","law & politics"
"628","law & politics","National Review","","law & politics","news"
"629","law & politics","Guardian","newspaper","news","news"
"630","news","New York Post","","news","news"
"631","news","Washington Post","newspaper","news","news"
"632","news","Washington Post","newspaper","news","news"
"633","news","Washington Post","newspaper","news","news"
"634","news","Washington Post","newspaper","law & politics","law & politics"
"635","news","Talking Points Memo","general","law & politics","news"
"636","news","New York Post","","news","news"
"637","news","New York Post","","news","news"
"638","law & politics","Washington Post","newspaper","law & politics","law & politics"
"639","law & politics","Washington Post","newspaper","law & politics","law & politics"
"640","health & lifestyle","NPR","radio","news","law & politics"
"641","law & politics","National Review","","news","news"
"642","news","NPR","radio","law & politics","law & politics"
"643","news","NPR","radio","news","news"
