"","section","publication","category","title","content"
"66","news","NPR","radio","news","news"
"67","law & politics","Washington Post","newspaper","law & politics","news"
"68","news","New York Post",NA,"news","news"
"69","news","NPR","radio","law & politics","news"
"70","news","Guardian","newspaper","news","news"
"71","law & politics","Talking Points Memo","general","law & politics","law & politics"
"72","news","Guardian","newspaper","law & politics","news"
"73","law & politics","Washington Post","newspaper","law & politics","law & politics"
"74","news","Washington Post","newspaper","news","news"
"75","news","Washington Post","newspaper","news","news"
"76","law & politics","Guardian","newspaper","news","law & politics"
"77","news","Guardian","newspaper","news","news"
"78","law & politics","Washington Post","newspaper","news","law & politics"
"79","law & politics","Washington Post","newspaper","law & politics","law & politics"
"80","law & politics","Talking Points Memo","general","law & politics","law & politics"
"81","law & politics","Washington Post","newspaper","news","law & politics"
"82","law & politics","Washington Post","newspaper","news","news"
"83","news","NPR","radio","news","news"
"84","news","Washington Post","newspaper","news","news"
"85","news","New York Post",NA,"news","news"
"86","news","Guardian","newspaper","law & politics","news"
"87","law & politics","National Review",NA,"law & politics","law & politics"
"88","health & lifestyle","NPR","radio","news","health & lifestyle"
"89","news","NPR","radio","news","news"
"90","news","New York Post",NA,"news","news"
"91","law & politics","Washington Post","newspaper","news","law & politics"
"92","culture","Guardian","newspaper","news","law & politics"
"93","news","New York Post",NA,"news","news"
"94","law & politics","Washington Post","newspaper","news","news"
"95","news","New York Post",NA,"news","news"
"96","news","New York Post",NA,"news","news"
"97","economy, business & jobs","Washington Post","newspaper","law & politics","law & politics"
"98","law & politics","Talking Points Memo","general","law & politics","law & politics"
"99","news","New York Post",NA,"news","news"
"100","health & lifestyle","NPR","radio","news","health & lifestyle"
"101","news","New York Post",NA,"news","news"
"102","university & school","NPR","radio","entertainment","news"
"103","news","NPR","radio","news","news"
"104","law & politics","National Review",NA,"law & politics","law & politics"
"105","news","Talking Points Memo","general","news","news"
"106","news","New York Post",NA,"news","news"
"107","health & lifestyle","Washington Post","newspaper","health & lifestyle","law & politics"
"108","news","New York Post",NA,"news","news"
"109","news","Guardian","newspaper","law & politics","news"
"110","news","Washington Post","newspaper","news","news"
"111","news","New York Post",NA,"law & politics","news"
"112","news","Guardian","newspaper","news","news"
"113","law & politics","National Review",NA,"law & politics","law & politics"
"114","law & politics","Washington Post","newspaper","news","law & politics"
"115","news","NPR","radio","news","news"
"116","news","NPR","radio","news","law & politics"
"117","news","Fox News","broadcast","news","news"
"118","news","New York Post",NA,"news","news"
"119","news","New York Post",NA,"news","news"
"120","news","New York Post",NA,"news","news"
"121","law & politics","Washington Post","newspaper","law & politics","law & politics"
"122","news","Washington Post","newspaper","news","news"
"123","news","New York Post",NA,"news","news"
"124","news","New York Post",NA,"news","law & politics"
"125","news","New York Post",NA,"news","news"
"126","news","Washington Post","newspaper","news","news"
"127","news","Washington Post","newspaper","news","news"
"128","news","Washington Post","newspaper","news","news"
"129","news","New York Post",NA,"news","news"
"130","university & school","NPR","radio","news","news"
"131","news","Washington Post","newspaper","news","news"
"132","law & politics","National Review",NA,"law & politics","law & politics"
"133","news","Washington Post","newspaper","news","news"
"134","law & politics","Washington Post","newspaper","health & lifestyle","law & politics"
"135","law & politics","Fox News","broadcast","law & politics","law & politics"
"136","news","New York Post",NA,"news","news"
"137","news","New York Post",NA,"news","news"
"138","news","New York Post",NA,"news","news"
"139","news","Guardian","newspaper","news","news"
"140","law & politics","National Review",NA,"law & politics","law & politics"
"141","news","New York Post",NA,"news","news"
"142","news","New York Post",NA,"news","law & politics"
"143","law & politics","National Review",NA,"news","law & politics"
"144","law & politics","Talking Points Memo","general","news","law & politics"
"145","food","NPR","radio","news","news"
"146","law & politics","Guardian","newspaper","news","law & politics"
"147","news","New York Post",NA,"law & politics","news"
"148","news","Washington Post","newspaper","news","news"
"149","law & politics","National Review",NA,"law & politics","law & politics"
"150","law & politics","Talking Points Memo","general","law & politics","law & politics"
"151","news","NPR","radio","news","news"
"152","entertainment","NPR","radio","entertainment","news"
"153","law & politics","Washington Post","newspaper","law & politics","law & politics"
"154","news","Washington Post","newspaper","news","news"
"155","news","Guardian","newspaper","news","news"
"156","law & politics","Talking Points Memo","general","news","law & politics"
"157","news","New York Post",NA,"news","news"
"158","news","New York Post",NA,"news","news"
"159","sports","Guardian","newspaper","sports","sports"
"160","science & tech","Guardian","newspaper","news","science & tech"
"161","news","Washington Post","newspaper","news","news"
"162","news","Washington Post","newspaper","news","law & politics"
"163","news","Washington Post","newspaper","law & politics","news"
"164","news","New York Post",NA,"news","news"
"165","law & politics","National Review",NA,"news","health & lifestyle"
"166","news","New York Post",NA,"news","news"
"167","news","New York Post",NA,"news","news"
"168","law & politics","NPR","radio","news","law & politics"
"169","news","New York Post",NA,"news","news"
"170","law & politics","Washington Post","newspaper","law & politics","law & politics"
"171","economy, business & jobs","Guardian","newspaper","economy, business & jobs","news"
"172","law & politics","Fox News","broadcast","law & politics","law & politics"
"173","news","Guardian","newspaper","law & politics","news"
"174","news","New York Post",NA,"sports","news"
"175","law & politics","National Review",NA,"law & politics","law & politics"
"176","news","Washington Post","newspaper","law & politics","news"
"177","news","New York Post",NA,"entertainment","news"
"178","law & politics","National Review",NA,"law & politics","law & politics"
"179","law & politics","Talking Points Memo","general","news","law & politics"
"180","news","New York Post",NA,"news","news"
"181","law & politics","National Review",NA,"law & politics","law & politics"
"182","news","NPR","radio","news","law & politics"
"183","news","New York Post",NA,"news","news"
"184","news","New York Post",NA,"news","law & politics"
"185","law & politics","National Review",NA,"law & politics","law & politics"
"186","news","New York Post",NA,"news","news"
"187","science & tech","Guardian","newspaper","news","science & tech"
"188","news","New York Post",NA,"news","news"
"189","law & politics","National Review",NA,"law & politics","law & politics"
"190","news","Washington Post","newspaper","news","news"
"191","entertainment","Guardian","newspaper","news","news"
"192","news","Guardian","newspaper","news","news"
"193","news","New York Post",NA,"law & politics","law & politics"
"194","news","New York Post",NA,"law & politics","news"
"195","law & politics","Talking Points Memo","general","law & politics","law & politics"
"196","law & politics","National Review",NA,"law & politics","law & politics"
"197","news","New York Post",NA,"news","news"
"198","sports","Guardian","newspaper","sports","sports"
"199","news","NPR","radio","law & politics","news"
"200","news","New York Post",NA,"news","news"
"201","law & politics","Fox News","broadcast","law & politics","law & politics"
"202","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"203","law & politics","Washington Post","newspaper","news","law & politics"
"204","news","New York Post",NA,"health & lifestyle","law & politics"
"205","law & politics","Washington Post","newspaper","news","law & politics"
"206","law & politics","Washington Post","newspaper","law & politics","law & politics"
"207","law & politics","Talking Points Memo","general","law & politics","law & politics"
"208","law & politics","National Review",NA,"law & politics","law & politics"
"209","news","Washington Post","newspaper","news","news"
"210","news","New York Post",NA,"news","news"
"211","entertainment","Guardian","newspaper","news","entertainment"
"212","law & politics","Washington Post","newspaper","news","law & politics"
"213","news","NPR","radio","news","news"
"214","law & politics","Talking Points Memo","general","law & politics","law & politics"
"215","sports","Guardian","newspaper","news","news"
"216","law & politics","National Review",NA,"science & tech","news"
"217","news","Guardian","newspaper","news","news"
"218","news","Washington Post","newspaper","news","news"
"219","law & politics","National Review",NA,"law & politics","law & politics"
"220","news","New York Post",NA,"news","news"
"221","law & politics","Washington Post","newspaper","law & politics","law & politics"
"222","news","New York Post",NA,"news","news"
"223","law & politics","Talking Points Memo","general","law & politics","law & politics"
"224","law & politics","Washington Post","newspaper","law & politics","law & politics"
"225","news","Washington Post","newspaper","news","news"
"226","news","Washington Post","newspaper","news","news"
"227","food","NPR","radio","news","food"
"228","law & politics","National Review",NA,"news","law & politics"
"229","news","New York Post",NA,"news","news"
"230","news","Washington Post","newspaper","news","news"
"231","news","New York Post",NA,"news","news"
"232","news","New York Post",NA,"news","news"
"233","law & politics","National Review",NA,"law & politics","law & politics"
"234","news","New York Post",NA,"news","news"
"235","entertainment","Guardian","newspaper","entertainment","entertainment"
"236","news","New York Post",NA,"news","news"
"237","news","New York Post",NA,"law & politics","news"
"238","news","Washington Post","newspaper","news","news"
"239","law & politics","Talking Points Memo","general","law & politics","law & politics"
"240","news","Washington Post","newspaper","news","news"
"241","news","NPR","radio","news","law & politics"
"242","news","Washington Post","newspaper","news","news"
"243","news","New York Post",NA,"news","news"
"244","news","New York Post",NA,"news","news"
"245","news","Washington Post","newspaper","news","news"
"246","health & lifestyle","NPR","radio","news","health & lifestyle"
"247","law & politics","Washington Post","newspaper","news","news"
"248","law & politics","National Review",NA,"law & politics","law & politics"
"249","news","New York Post",NA,"news","news"
"250","entertainment","Guardian","newspaper","entertainment","entertainment"
"251","news","New York Post",NA,"news","news"
"252","law & politics","Washington Post","newspaper","news","law & politics"
"253","health & lifestyle","NPR","radio","news","health & lifestyle"
"254","law & politics","National Review",NA,"law & politics","law & politics"
"255","culture","Guardian","newspaper","news","news"
"256","news","Washington Post","newspaper","health & lifestyle","news"
"257","news","New York Post",NA,"news","news"
"258","news","Washington Post","newspaper","law & politics","news"
"259","news","New York Post",NA,"law & politics","news"
"260","news","Washington Post","newspaper","news","news"
"261","news","New York Post",NA,"news","news"
"262","news","New York Post",NA,"news","news"
"263","food","NPR","radio","news","food"
"264","news","New York Post",NA,"news","health & lifestyle"
"265","law & politics","Talking Points Memo","general","law & politics","law & politics"
"266","law & politics","Talking Points Memo","general","law & politics","law & politics"
"267","law & politics","Talking Points Memo","general","law & politics","law & politics"
"268","news","Talking Points Memo","general","news","news"
"269","law & politics","Talking Points Memo","general","law & politics","law & politics"
"270","news","New York Post",NA,"news","news"
"271","law & politics","National Review",NA,"law & politics","law & politics"
"272","health & lifestyle","NPR","radio","news","health & lifestyle"
"273","science & tech","NPR","radio","news","science & tech"
"274","news","New York Post",NA,"news","news"
"275","news","Washington Post","newspaper","news","news"
"276","law & politics","Fox News","broadcast","law & politics","news"
"277","news","Guardian","newspaper","news","law & politics"
"278","law & politics","National Review",NA,"law & politics","law & politics"
"279","health & lifestyle","NPR","radio","health & lifestyle","news"
"280","news","Guardian","newspaper","news","health & lifestyle"
"281","news","Washington Post","newspaper","news","news"
"282","science & tech","NPR","radio","news","news"
"283","news","Washington Post","newspaper","news","news"
"284","law & politics","Washington Post","newspaper","law & politics","law & politics"
"285","law & politics","Talking Points Memo","general","law & politics","law & politics"
"286","news","New York Post",NA,"news","news"
"287","news","Washington Post","newspaper","news","law & politics"
"288","law & politics","National Review",NA,"law & politics","law & politics"
"289","health & lifestyle","NPR","radio","law & politics","health & lifestyle"
"290","law & politics","Fox News","broadcast","law & politics","law & politics"
"291","news","New York Post",NA,"news","news"
"292","law & politics","Talking Points Memo","general","law & politics","law & politics"
"293","law & politics","Washington Post","newspaper","law & politics","law & politics"
"294","entertainment","NPR","radio","entertainment","entertainment"
"295","law & politics","National Review",NA,"law & politics","law & politics"
"296","law & politics","Talking Points Memo","general","law & politics","news"
"297","news","New York Post",NA,"news","news"
"298","law & politics","Talking Points Memo","general","law & politics","law & politics"
"299","news","New York Post",NA,"news","news"
"300","health & lifestyle","Guardian","newspaper","news","health & lifestyle"
"301","law & politics","Talking Points Memo","general","law & politics","law & politics"
"302","news","Washington Post","newspaper","law & politics","news"
"303","law & politics","National Review",NA,"news","law & politics"
"304","law & politics","Washington Post","newspaper","news","law & politics"
"305","law & politics","National Review",NA,"news","law & politics"
"306","news","Washington Post","newspaper","news","news"
"307","health & lifestyle","Washington Post","newspaper","news","news"
"308","news","New York Post",NA,"news","news"
"309","news","Guardian","newspaper","news","news"
"310","news","Guardian","newspaper","news","news"
"311","news","New York Post",NA,"news","news"
"312","law & politics","Talking Points Memo","general","law & politics","law & politics"
"313","news","Washington Post","newspaper","news","news"
"314","health & lifestyle","NPR","radio","law & politics","health & lifestyle"
"315","news","New York Post",NA,"news","news"
"316","economy, business & jobs","Guardian","newspaper","news","economy, business & jobs"
"317","law & politics","Guardian","newspaper","law & politics","law & politics"
"318","news","New York Post",NA,"news","news"
"319","news","NPR","radio","law & politics","news"
"320","news","Washington Post","newspaper","news","news"
"321","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"322","sports","Guardian","newspaper","news","sports"
"323","law & politics","Talking Points Memo","general","law & politics","law & politics"
"324","law & politics","NPR","radio","law & politics","law & politics"
"325","entertainment","Guardian","newspaper","news","entertainment"
"326","news","NPR","radio","news","news"
"327","news","New York Post",NA,"news","news"
"328","news","New York Post",NA,"news","news"
"329","law & politics","National Review",NA,"news","law & politics"
"330","food","NPR","radio","news","food"
"331","news","Guardian","newspaper","news","news"
"332","law & politics","Washington Post","newspaper","law & politics","law & politics"
"333","law & politics","National Review",NA,"law & politics","law & politics"
"334","news","New York Post",NA,"news","news"
"335","news","Washington Post","newspaper","news","news"
"336","news","New York Post",NA,"news","news"
"337","health & lifestyle","Guardian","newspaper","law & politics","health & lifestyle"
"338","news","New York Post",NA,"news","news"
"339","news","New York Post",NA,"news","news"
"340","news","Washington Post","newspaper","news","news"
"341","law & politics","Talking Points Memo","general","law & politics","law & politics"
"342","news","Guardian","newspaper","news","news"
"343","news","New York Post",NA,"news","news"
"344","news","NPR","radio","news","news"
"345","news","NPR","radio","news","news"
"346","law & politics","Guardian","newspaper","law & politics","law & politics"
"347","news","Washington Post","newspaper","law & politics","law & politics"
"348","news","New York Post",NA,"news","news"
"349","news","New York Post",NA,"news","news"
"350","news","New York Post",NA,"news","news"
"351","news","Washington Post","newspaper","news","news"
"352","news","NPR","radio","news","news"
"353","news","New York Post",NA,"news","news"
"354","news","New York Post",NA,"news","news"
"355","law & politics","National Review",NA,"law & politics","law & politics"
"356","news","New York Post",NA,"news","news"
"357","science & tech","NPR","radio","science & tech","science & tech"
"358","news","NPR","radio","news","news"
"359","law & politics","Talking Points Memo","general","law & politics","law & politics"
"360","health & lifestyle","Washington Post","newspaper","health & lifestyle","health & lifestyle"
"361","law & politics","Talking Points Memo","general","law & politics","law & politics"
"362","law & politics","National Review",NA,"law & politics","law & politics"
"363","news","New York Post",NA,"news","news"
"364","news","New York Post",NA,"news","news"
"365","news","New York Post",NA,"news","news"
"366","law & politics","Washington Post","newspaper","law & politics","law & politics"
"367","news","Washington Post","newspaper","news","news"
"368","news","New York Post",NA,"news","news"
"369","news","NPR","radio","news","news"
"370","news","New York Post",NA,"news","news"
"371","news","New York Post",NA,"law & politics","news"
"372","law & politics","National Review",NA,"law & politics","law & politics"
"373","law & politics","National Review",NA,"law & politics","news"
"374","law & politics","Talking Points Memo","general","law & politics","law & politics"
"375","law & politics","National Review",NA,"law & politics","law & politics"
"376","news","New York Post",NA,"news","news"
"377","entertainment","Washington Post","newspaper","news","entertainment"
"378","news","Washington Post","newspaper","law & politics","law & politics"
"379","media","Guardian","newspaper","news","news"
"380","news","New York Post",NA,"news","news"
"381","news","Washington Post","newspaper","news","news"
"382","news","Guardian","newspaper","news","news"
"383","news","New York Post",NA,"sports","news"
"384","art & fashion","Guardian","newspaper","news","news"
"385","news","New York Post",NA,"news","news"
"386","news","New York Post",NA,"news","news"
"387","law & politics","National Review",NA,"law & politics","law & politics"
"388","news","New York Post",NA,"news","news"
"389","news","New York Post",NA,"news","news"
"390","news","New York Post",NA,"news","news"
"391","news","New York Post",NA,"law & politics","news"
"392","news","Talking Points Memo","general","law & politics","news"
"393","science & tech","Guardian","newspaper","news","science & tech"
"394","news","NPR","radio","news","news"
"395","news","NPR","radio","news","law & politics"
"396","news","New York Post",NA,"law & politics","news"
"397","health & lifestyle","Guardian","newspaper","news","news"
"398","science & tech","NPR","radio","news","science & tech"
"399","law & politics","Talking Points Memo","general","law & politics","law & politics"
"400","law & politics","Talking Points Memo","general","law & politics","law & politics"
"401","news","New York Post",NA,"news","news"
"402","law & politics","Washington Post","newspaper","law & politics","law & politics"
"403","news","New York Post",NA,"news","news"
"404","law & politics","Washington Post","newspaper","law & politics","law & politics"
"405","news","NPR","radio","news","news"
"406","news","Washington Post","newspaper","news","news"
"407","law & politics","Guardian","newspaper","law & politics","law & politics"
"408","news","New York Post",NA,"news","news"
"409","news","New York Post",NA,"news","news"
"410","news","NPR","radio","health & lifestyle","news"
"411","news","New York Post",NA,"law & politics","news"
"412","news","New York Post",NA,"news","news"
"413","news","New York Post",NA,"news","news"
"414","news","Washington Post","newspaper","news","news"
"415","law & politics","Washington Post","newspaper","law & politics","law & politics"
"416","law & politics","Guardian","newspaper","news","news"
"417","health & lifestyle","NPR","radio","news","health & lifestyle"
"418","culture","Guardian","newspaper","news","news"
"419","law & politics","National Review",NA,"law & politics","law & politics"
"420","law & politics","National Review",NA,"law & politics","law & politics"
"421","health & lifestyle","Guardian","newspaper","news","news"
"422","law & politics","National Review",NA,"food","law & politics"
"423","entertainment","Guardian","newspaper","entertainment","news"
"424","law & politics","Talking Points Memo","general","law & politics","law & politics"
"425","law & politics","National Review",NA,"news","law & politics"
"426","news","New York Post",NA,"news","news"
"427","law & politics","Fox News","broadcast","law & politics","law & politics"
"428","news","New York Post",NA,"news","news"
"429","health & lifestyle","NPR","radio","news","health & lifestyle"
"430","news","Talking Points Memo","general","law & politics","law & politics"
"431","law & politics","National Review",NA,"culture","law & politics"
"432","news","New York Post",NA,"news","news"
"433","law & politics","Talking Points Memo","general","health & lifestyle","law & politics"
"434","news","Washington Post","newspaper","news","news"
"435","news","Guardian","newspaper","news","news"
"436","law & politics","Talking Points Memo","general","law & politics","law & politics"
"437","health & lifestyle","NPR","radio","news","health & lifestyle"
"438","news","Washington Post","newspaper","news","news"
"439","news","New York Post",NA,"news","news"
"440","law & politics","National Review",NA,"law & politics","law & politics"
"441","law & politics","Talking Points Memo","general","news","law & politics"
"442","news","New York Post",NA,"news","news"
"443","news","Guardian","newspaper","news","news"
"444","sports","Guardian","newspaper","sports","sports"
"445","news","New York Post",NA,"news","news"
"446","science & tech","NPR","radio","science & tech","science & tech"
"447","news","New York Post",NA,"law & politics","news"
"448","law & politics","National Review",NA,"law & politics","law & politics"
"449","news","New York Post",NA,"news","news"
"450","news","New York Post",NA,"news","news"
"451","news","New York Post",NA,"news","news"
"452","sports","Guardian","newspaper","law & politics","sports"
"453","law & politics","National Review",NA,"law & politics","law & politics"
"454","food","NPR","radio","news","food"
"455","health & lifestyle","NPR","radio","news","news"
"456","news","New York Post",NA,"news","news"
"457","health & lifestyle","Fox News","broadcast","health & lifestyle","health & lifestyle"
"458","sports","Washington Post","newspaper","news","sports"
"459","news","New York Post",NA,"news","news"
"460","law & politics","Guardian","newspaper","entertainment","law & politics"
"461","news","Washington Post","newspaper","law & politics","law & politics"
"462","entertainment","Guardian","newspaper","news","news"
"463","law & politics","Talking Points Memo","general","news","law & politics"
"464","news","New York Post",NA,"law & politics","law & politics"
"465","news","New York Post",NA,"news","news"
"466","news","New York Post",NA,"news","news"
"467","news","New York Post",NA,"news","news"
"468","news","Guardian","newspaper","law & politics","news"
"469","news","New York Post",NA,"news","news"
"470","news","Washington Post","newspaper","news","news"
"471","news","Washington Post","newspaper","law & politics","news"
"472","law & politics","National Review",NA,"law & politics","law & politics"
"473","news","New York Post",NA,"news","law & politics"
"474","news","Washington Post","newspaper","news","news"
"475","law & politics","National Review",NA,"news","news"
"476","news","New York Post",NA,"news","news"
"477","law & politics","Washington Post","newspaper","news","news"
"478","news","New York Post",NA,"news","news"
"479","news","New York Post",NA,"news","news"
"480","university & school","NPR","radio","news","university & school"
"481","law & politics","Guardian","newspaper","law & politics","law & politics"
"482","news","Washington Post","newspaper","news","news"
"483","sports","Guardian","newspaper","news","news"
"484","news","New York Post",NA,"news","news"
"485","news","Washington Post","newspaper","news","news"
"486","news","New York Post",NA,"news","news"
"487","news","Fox News","broadcast","news","news"
"488","law & politics","National Review",NA,"entertainment","law & politics"
"489","news","Washington Post","newspaper","entertainment","news"
"490","health & lifestyle","NPR","radio","news","news"
"491","law & politics","National Review",NA,"law & politics","law & politics"
"492","news","Guardian","newspaper","news","news"
"493","news","New York Post",NA,"news","news"
"494","news","NPR","radio","news","news"
"495","law & politics","Guardian","newspaper","law & politics","law & politics"
"496","food","NPR","radio","news","news"
"497","news","New York Post",NA,"news","news"
"498","news","New York Post",NA,"news","news"
"499","news","Washington Post","newspaper","law & politics","news"
"500","news","Washington Post","newspaper","news","news"
"501","law & politics","Washington Post","newspaper","sports","law & politics"
"502","law & politics","National Review",NA,"news","law & politics"
"503","law & politics","Talking Points Memo","general","news","law & politics"
"504","news","New York Post",NA,"news","news"
"505","news","New York Post",NA,"news","news"
"506","economy, business & jobs","Guardian","newspaper","news","economy, business & jobs"
"507","food","NPR","radio","news","news"
"508","news","Guardian","newspaper","news","news"
"509","health & lifestyle","NPR","radio","news","news"
"510","news","New York Post",NA,"news","news"
"511","law & politics","Talking Points Memo","general","news","law & politics"
"512","news","NPR","radio","news","news"
"513","news","New York Post",NA,"news","news"
"514","law & politics","Talking Points Memo","general","law & politics","law & politics"
"515","news","New York Post",NA,"news","news"
"516","news","Guardian","newspaper","news","news"
"517","news","New York Post",NA,"news","news"
"518","news","Talking Points Memo","general","law & politics","news"
"519","news","Guardian","newspaper","news","news"
"520","law & politics","National Review",NA,"law & politics","law & politics"
"521","law & politics","Washington Post","newspaper","news","news"
"522","news","New York Post",NA,"news","news"
"523","entertainment","Guardian","newspaper","entertainment","entertainment"
"524","law & politics","National Review",NA,"law & politics","law & politics"
"525","news","Washington Post","newspaper","news","health & lifestyle"
"526","law & politics","National Review",NA,"law & politics","law & politics"
"527","news","Washington Post","newspaper","law & politics","news"
"528","news","New York Post",NA,"news","news"
"529","news","New York Post",NA,"news","news"
"530","law & politics","National Review",NA,"law & politics","law & politics"
"531","law & politics","Talking Points Memo","general","law & politics","law & politics"
"532","health & lifestyle","NPR","radio","news","health & lifestyle"
"533","news","New York Post",NA,"news","news"
"534","entertainment","NPR","radio","entertainment","entertainment"
"535","news","Washington Post","newspaper","news","news"
"536","law & politics","NPR","radio","law & politics","law & politics"
"537","news","Washington Post","newspaper","news","news"
"538","law & politics","National Review",NA,"law & politics","law & politics"
"539","news","NPR","radio","law & politics","news"
"540","news","New York Post",NA,"news","news"
"541","news","Washington Post","newspaper","law & politics","news"
"542","news","Talking Points Memo","general","news","news"
"543","news","Washington Post","newspaper","law & politics","news"
"544","law & politics","Washington Post","newspaper","law & politics","law & politics"
"545","news","New York Post",NA,"news","law & politics"
"546","law & politics","Talking Points Memo","general","law & politics","law & politics"
"547","sports","Guardian","newspaper","news","sports"
"548","science & tech","Guardian","newspaper","news","law & politics"
"549","news","Washington Post","newspaper","news","news"
"550","health & lifestyle","NPR","radio","health & lifestyle","health & lifestyle"
"551","news","NPR","radio","news","news"
"552","law & politics","Washington Post","newspaper","law & politics","law & politics"
"553","news","Washington Post","newspaper","news","news"
"554","law & politics","National Review",NA,"news","law & politics"
"555","news","New York Post",NA,"news","news"
"556","news","Talking Points Memo","general","news","news"
"557","law & politics","National Review",NA,"law & politics","law & politics"
"558","news","New York Post",NA,"law & politics","news"
"559","law & politics","National Review",NA,"law & politics","law & politics"
"560","news","New York Post",NA,"news","news"
"561","news","NPR","radio","news","news"
"562","news","New York Post",NA,"news","news"
"563","news","NPR","radio","news","law & politics"
"564","news","New York Post",NA,"law & politics","law & politics"
"565","law & politics","National Review",NA,"law & politics","law & politics"
"566","news","NPR","radio","news","news"
"567","law & politics","Talking Points Memo","general","law & politics","law & politics"
"568","news","Guardian","newspaper","news","news"
"569","law & politics","National Review",NA,"law & politics","law & politics"
"570","news","Guardian","newspaper","news","news"
"571","economy, business & jobs","Washington Post","newspaper","news","news"
"572","news","New York Post",NA,"news","news"
"573","news","New York Post",NA,"law & politics","news"
"574","entertainment","Guardian","newspaper","news","sports"
"575","news","Guardian","newspaper","news","news"
"576","entertainment","Guardian","newspaper","entertainment","news"
"577","news","Washington Post","newspaper","news","law & politics"
"578","news","Guardian","newspaper","news","news"
"579","law & politics","Talking Points Memo","general","law & politics","law & politics"
"580","news","NPR","radio","news","news"
"581","news","NPR","radio","news","news"
"582","news","Fox News","broadcast","news","news"
"583","law & politics","Washington Post","newspaper","news","news"
"584","law & politics","National Review",NA,"law & politics","law & politics"
"585","news","Washington Post","newspaper","news","news"
"586","law & politics","National Review",NA,"news","law & politics"
"587","law & politics","Talking Points Memo","general","news","law & politics"
"588","news","Washington Post","newspaper","news","law & politics"
"589","news","New York Post",NA,"news","news"
"590","news","New York Post",NA,"news","news"
"591","news","NPR","radio","news","news"
"592","news","Washington Post","newspaper","news","news"
"593","news","New York Post",NA,"law & politics","law & politics"
"594","news","New York Post",NA,"law & politics","law & politics"
"595","news","Guardian","newspaper","news","news"
"596","news","New York Post",NA,"news","news"
"597","news","Washington Post","newspaper","health & lifestyle","law & politics"
"598","news","New York Post",NA,"news","news"
"599","law & politics","National Review",NA,"law & politics","law & politics"
